Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,380382316067151","-0,533525806735634","0,659302816292224",0,0,0,"156,163072577183","7,59889681143528","9,24660486508239E-05","-0,000259409545018871","7,59824264740178","0,000102275137498633","10,3617884952824",0,0,0,0,0,0,package://delta/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta/meshes/base_link.STL,,headdelta-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm1u_link,"0,114792252146981","0,00182152585989626","0,0495423331065887",0,0,0,"0,646884412038515","0,000166776951356192","-0,000187543246495443","-4,04262175310576E-09","0,00675559133337473","6,15021017819242E-11","0,00677709143476231",0,0,0,0,0,0,package://delta/meshes/arm1u_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta/meshes/arm1u_link.STL,,delta l1-1,Origin_arm1u_joint,Axis_arm1u_joint,arm1u_joint,revolute,"0,332874358144467","-0,683521580995339","0,398756986704061","-1,5707963267949",0,"-1,5707963267949",base_link,0,0,1,0,0,0,"3,1416",,,,,,,,
arm11_link,"-0,0151005260811973","0,196287921564387","-0,336929572799235",0,0,0,"0,127460758319217","0,00814693140460583","-4,92928019985575E-05","9,05596189880381E-05","0,0062881494959543","0,0034190184061498","0,00186356030148952",0,0,0,0,0,0,package://delta/meshes/arm11_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta/meshes/arm11_link.STL,,deltal2-1,arm11_origin,arm1_axis,arm11_joint,revolute,"0,29","0,04","0,0275","1,5708","-1,5708",0,arm1u_link,-1,0,0,0,0,0,0,,,,,,,,
arm11_spider_link,"0,015","0,0550000002696336","0,00234510079557038",0,0,0,"0,207397112440021","0,000172568881403432","-4,07679263921255E-19","-4,12890466512252E-20","0,00017256884108883","3,89811473984236E-13","0,000277154102529209",0,0,0,0,0,0,package://delta/meshes/arm11_spider_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://delta/meshes/arm11_spider_link.STL,,deltahinge-1,arm11_spider_origin,,arm11_spider_joint,fixed,"0,005","0,385","-0,6789",0,0,0,arm11_link,0,0,0,,,,,,,,,,,,
arm12_link,"0,0149009633527306","0,196209132849916","-0,33696955808221",0,0,0,"0,127460758197968","0,00814692981417886","4,92940499340967E-05","-9,05589094550425E-05","0,0062881507189424","0,00341901905662901","0,00186356064655539",0,0,0,0,0,0,package://delta/meshes/arm12_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta/meshes/arm12_link.STL,,deltal2-2,arm12_origin,arm1_axis,arm12_joint,revolute,"0,29","0,04","0,0675","1,5708","-1,5708",0,arm1u_link,-1,0,0,0,0,0,0,,,,,,,,
arm12_spider_link,"-0,015","0,0550000002696335","0,00234510079557038",0,0,0,"0,207397112440021","0,000172568881403432","-4,07570686374268E-19","-4,15903609060912E-20","0,00017256884108883","3,89811473037663E-13","0,000277154102529209",0,0,0,0,0,0,package://delta/meshes/arm12_spider_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://delta/meshes/arm12_spider_link.STL,,deltahinge-1,arm12_spider_origin,,arm12_spider_joint,fixed,"-0,005","0,385","-0,6789",0,0,0,arm12_link,0,0,0,,,,,,,,,,,,
arm2u_link,"0,114792190956305","-0,00182152531048957","-0,0251673198673808",0,0,0,"0,646883970811699","0,000166776836705843","0,000187543268799503","3,21501578687261E-09","0,00675558779094133","3,68581727496335E-11","0,00677708810261762",0,0,0,0,0,0,package://delta/meshes/arm2u_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta/meshes/arm2u_link.STL,,delta l1-3,Origin_arm2u_joint,Axis_arm2u_joint,arm2u_joint,revolute,"0,26203","-0,43849","0,39876","1,5708",0,"2,618",base_link,0,0,1,0,0,"-3,1416",0,,,,,,,,
arm21_link,"-0,0149337877385725","0,196173393877676","-0,33698948069346",0,0,0,"0,127460758272507","0,00814690103546067","-4,92996198580384E-05","9,05557693323212E-05","0,00628817272220904","0,00341903127869353","0,00186356743546608",0,0,0,0,0,0,package://delta/meshes/arm21_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta/meshes/arm21_link.STL,,deltal2-3,arm21_origin,arm2_axis,arm21_joint,revolute,"0,29","-0,04","-0,003125","1,5708","1,5708",0,arm2u_link,-1,0,0,0,0,0,0,,,,,,,,
arm21_spider_link,"0,014999999766491","0,0549999998651832","0,00234510079557032",0,0,0,"0,207397112440021","0,00017256885116748","-1,74567346933026E-11","-3,37586610975334E-13","0,000172568871324782","-1,94905772869324E-13","0,000277154102529209",0,0,0,0,0,0,package://delta/meshes/arm21_spider_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://delta/meshes/arm21_spider_link.STL,,deltahinge-1,arm21_spider_origin,Axis_arm21_spider_joint,arm21_spider_joint,fixed,"0,00499999999999967","0,385000000000003","-0,678897506840885",0,0,0,arm21_link,0,0,0,,,,,,,,,,,,
arm22_link,"0,0150335623413876","0,196158983361336","-0,336998756966697",0,0,0,"0,127460758697646","0,00814688379562211","4,92563063294823E-05","-9,05786464641641E-05","0,00628818562513337","0,00341903885912145","0,00186357184839554",0,0,0,0,0,0,package://delta/meshes/arm22_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta/meshes/arm22_link.STL,,deltal2-5,arm22_origin,arm2_axis,arm22_joint,revolute,"0,29","-0,04","-0,043125","1,5708","1,5708",0,arm2u_link,-1,0,0,0,0,0,0,,,,,,,,
arm22_spider_link,"-0,015000000233509","0,0549999998651831","0,00234510079557032",0,0,0,"0,207397112440021","0,00017256885116748","-1,74567347000789E-11","-3,37586611378871E-13","0,000172568871324782","-1,94905771516064E-13","0,000277154102529209",0,0,0,0,0,0,package://delta/meshes/arm22_spider_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://delta/meshes/arm22_spider_link.STL,,deltahinge-1,arm22_spider_origin,Axis_arm22_spider_joint,arm22_spider_joint,fixed,"-0,00500000000000039","0,385000000000004","-0,678897506840886",0,0,0,arm22_link,0,0,0,,,,,,,,,,,,
arm3u_link,"0,114792221305797","-0,00182152765219995","0,184356660884915",0,0,0,"0,646884127953808","0,000166777031838413","0,000187543435284817","4,36611667900175E-09","0,00675559025398927","7,91226247931834E-11","0,00677709036650217",0,0,0,0,0,0,package://delta/meshes/arm3u_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta/meshes/arm3u_link.STL,,delta l1-2,Origin_arm3u_joint,Axis_arm3u_joint,arm3u_joint,revolute,"0,417078668164106","-0,297095310806117","0,398756986704061","1,5707963267949",0,"0,523598775598305",base_link,0,0,1,0,0,"-3,1416",0,,,,,,,,
arm31_link,"-0,0149753633398072","0,196343241690027","-0,336897668988324",0,0,0,"0,127460758755479","0,00814688104191047","-4,92603272500584E-05","9,05764137202415E-05","0,00628818782208854","0,00341903997839666","0,00186357241522575",0,0,0,0,0,0,package://delta/meshes/arm31_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta/meshes/arm31_link.STL,,deltal2-6,arm31_origin,arm3_axis,arm31_joint,revolute,"0,29","-0,04","0,2064","1,5708","1,5708",0,arm3u_link,-1,0,0,0,0,0,0,,,,,,,,
arm31_spider_link,"0,0150000002335101","0,0549999998651832","0,00234510079557032",0,0,0,"0,207397112440021","0,000172568851167481","1,74567351202072E-11","3,37586665605285E-13","0,000172568871324781","-1,94905701081223E-13","0,000277154102529209",0,0,0,0,0,0,package://delta/meshes/arm31_spider_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://delta/meshes/arm31_spider_link.STL,,deltahinge-1,arm31_spider_origin,Axis_arm31_spider_joint,arm31_spider_joint,fixed,"0,00500000000000467","0,385000000000002","-0,678897506840886",0,0,0,arm31_link,0,0,0,,,,,,,,,,,,
arm32_link,"0,015109117469074","0,196251933598046","-0,33694927538221",0,0,0,"0,127460758699228","0,00814694099722032","4,9273743599918E-05","-9,05702265426356E-05","0,00628814155657333","0,00341901478439211","0,0018635587153562",0,0,0,0,0,0,package://delta/meshes/arm32_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta/meshes/arm32_link.STL,,deltal2-4,arm32_origin,arm3_axis,arm32_joint,revolute,"0,29","-0,04","0,1664","1,5708","1,5708",0,arm3u_link,-1,0,0,0,0,0,0,,,,,,,,
arm32_spider_link,"-0,0149999997664901","0,0549999998651833","0,00234510079557032",0,0,0,"0,207397112440021","0,000172568851167481","1,7456735113431E-11","3,37586664944191E-13","0,000172568871324781","-1,9490570069954E-13","0,000277154102529209",0,0,0,0,0,0,package://delta/meshes/arm32_spider_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://delta/meshes/arm32_spider_link.STL,,deltahinge-1,arm32_spider_origin,,arm32_spider_joint,fixed,"-0,005","0,385","-0,6789",0,0,0,arm32_link,0,0,0,,,,,,,,,,,,
